time,power,heart_rate
0,100,105
1,105,108
2,110,111
3,115,114
4,120,117
5,125,120
6,130,123
7,135,126
8,140,129
9,145,132
10,150,135
11,155,138
12,160,141
13,165,144
14,170,147
15,175,150
16,180,153
17,185,156
18,190,159
19,195,162
20,200,165
21,205,168
22,210,171
23,215,174
24,220,177
25,225,180
26,230,183
27,235,186
28,240,189
29,245,192
30,250,195
31,255,198
32,260,201
33,265,204
34,270,207
35,275,210
36,280,213
37,285,216
38,290,219
39,295,222
40,300,225
41,305,228
42,310,231
43,315,234
44,320,237
45,325,240
46,330,243
47,335,246
48,340,249
49,345,252
50,350,255
51,355,258
52,360,261
53,365,264
54,370,267
55,375,270
56,380,273
57,385,276
58,390,279
59,395,282
60,390,280
61,385,278
62,380,276
63,375,274
64,370,272
65,365,270
66,360,268
67,355,266
68,350,264
69,345,262
70,340,260
71,335,258
72,330,256
73,325,254
74,320,252
75,315,250
76,310,248
77,305,246
78,300,244
79,295,242
80,290,240
81,285,238
82,280,236
83,275,234
84,270,232
85,265,230
86,260,228
87,255,226
88,250,224
89,245,222
90,240,220
91,235,218
92,230,216
93,225,214
94,220,212
95,215,210
96,210,208
97,205,206
98,200,204
99,195,202
100,190,200
101,185,198
102,180,196
103,175,194
104,170,192
105,165,190
106,160,188
107,155,186
108,150,184
109,145,182
110,140,180
111,135,178
112,130,176
113,125,174
114,120,172
115,115,170
116,110,168
117,105,166
118,100,164
119,95,162
120,220,190
121,225,193
122,230,196
123,235,199
124,240,202
125,245,205
126,250,208
127,255,211
128,260,214
129,265,217
130,270,220
131,275,223
132,280,226
133,285,229
134,290,232
135,295,235
136,300,238
137,305,241
138,310,244
139,315,247
140,320,250
141,325,253
142,330,256
143,335,259
144,340,262
145,345,265
146,350,268
147,355,271
148,360,274
149,365,277
150,370,280
151,375,283
152,380,286
153,385,289
154,390,292
155,395,295
156,400,298
157,405,301
158,410,304
159,415,307
160,420,310
161,425,313
162,430,316
163,435,319
164,440,322
165,445,325
166,450,328
167,455,331
168,460,334
169,465,337
170,470,340
171,475,343
172,480,346
173,485,349
174,490,352
175,495,355
176,500,358
177,505,361
178,510,364
179,515,367
180,510,365
181,505,363
182,500,361
183,495,359
184,490,357
185,485,355
186,480,353
187,475,351
188,470,349
189,465,347
190,460,345
191,455,343
192,450,341
193,445,339
194,440,337
195,435,335
196,430,333
197,425,331
198,420,329
199,415,327
200,410,325
201,405,323
202,400,321
203,395,319
204,390,317
205,385,315
206,380,313
207,375,311
208,370,309
209,365,307
210,360,305
211,355,303
212,350,301
213,345,299
214,340,297
215,335,295
216,330,293
217,325,291
218,320,289
219,315,287
220,310,285
221,305,283
222,300,281
223,295,279
224,290,277
225,285,275
226,280,273
227,275,271
228,270,269
229,265,267
230,260,265
231,255,263
232,250,261
233,245,259
234,240,257
235,235,255
236,230,253
237,225,251
238,220,249
239,215,247
240,210,245
241,205,243
242,200,241
243,195,239
244,190,237
245,185,235
246,180,233
247,175,231
248,170,229
249,165,227
250,160,225
251,155,223
252,150,221
253,145,219
254,140,217
255,135,215
256,130,213
257,125,211
258,120,209
259,115,207
260,110,205
261,270,240
262,275,243
263,280,246
264,285,249
265,290,252
266,295,255
267,300,258
268,305,261
269,310,264
270,315,267
271,320,270
272,325,273
273,330,276
274,335,279
275,340,282
276,345,285
277,350,288
278,355,291
279,360,294
280,365,297
281,370,300
282,375,303
283,380,306
284,385,309
285,390,312
286,395,315
287,400,318
288,405,321
289,410,324
290,415,327
291,420,330
292,425,333
293,430,336
294,435,339
295,440,342
296,445,345
297,450,348
298,455,351
299,460,354
300,455,352
301,450,350
302,445,348
303,440,346
304,435,344
305,430,342
306,425,340
307,420,338
308,415,336
309,410,334
310,405,332
311,400,330
312,395,328
313,390,326
314,385,324
315,380,322
316,375,320
317,370,318
318,365,316
319,360,314
320,355,312
321,350,310
322,345,308
323,340,306
324,335,304
325,330,302
326,325,300
327,320,298
328,315,296
329,310,294
330,305,292
331,300,290
332,295,288
333,290,286
334,285,284
335,280,282
336,275,280
337,270,278
338,265,276
339,260,274
340,255,272
341,250,270
342,245,268
343,240,266
344,235,264
345,230,262
346,225,260
347,220,258
348,215,256
349,210,254
350,205,252
351,200,250
352,195,248
353,190,246
354,185,244
355,180,242
356,175,240
357,170,238
358,165,236
359,160,234
360,155,232
361,150,230
362,145,228
363,140,226
364,135,224
365,130,222
366,125,220
367,120,218
368,115,216
369,110,214
370,105,212
371,100,210
372,95,208
373,90,206
374,85,204
375,80,202
376,75,200
377,70,198
378,65,196
379,60,194
380,55,192
